"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17515-28181","RB","Le'Veon","","Bell","23.3249994913737","12","10300","MIA@PIT","PIT","MIA","","","",""
"17515-11612","WR","Antonio","","Brown","16.953333536783855","15","9100","MIA@PIT","PIT","MIA","","","",""
"17515-31360","WR","Odell","","Beckham Jr.","15.381250381469727","16","8900","NYG@GB","NYG","GB","","","",""
"17515-6894","QB","Aaron","","Rodgers","24.188749313354492","16","8600","NYG@GB","GB","NYG","","","",""
"17515-6893","WR","Jordy","","Nelson","16.012500762939453","16","8500","NYG@GB","GB","NYG","","","",""
"17515-6589","QB","Ben","","Roethlisberger","18.94000026157924","14","8500","MIA@PIT","PIT","MIA","","","",""
"17515-46882","RB","Jay","","Ajayi","13.453333536783854","15","8300","MIA@PIT","MIA","PIT","","","",""
"17515-22015","QB","Russell","","Wilson","17.50374984741211","16","7700","DET@SEA","SEA","DET","","","",""
"17515-6826","QB","Eli","","Manning","15.011249542236328","16","7500","NYG@GB","NYG","GB","","","",""
"17515-16606","WR","DeAndre","","Hopkins","9.899999618530273","16","7400","OAK@HOU","HOU","OAK","","","",""
"17515-6654","QB","Matthew","","Stafford","18.111249923706055","16","7200","DET@SEA","DET","SEA","","","",""
"17515-22037","RB","Lamar","","Miller","12.542857578822545","14","7100","OAK@HOU","HOU","OAK","","","",""
"17515-28095","RB","Thomas","","Rawls","7.666666666666667","9","7100","DET@SEA","SEA","DET","","","",""
"17515-45889","WR","Davante","","Adams","13.074999809265137","16","7000","NYG@GB","GB","NYG","","","",""
"17515-6808","QB","Matt","","Moore","14.4350004196167","4","6900","MIA@PIT","MIA","PIT","","","",""
"17515-14626","WR","Doug","","Baldwin","12.912500381469727","16","6900","DET@SEA","SEA","DET","","","",""
"17515-29734","RB","Ty","","Montgomery","7.9","15","6800","NYG@GB","GB","NYG","","","",""
"17515-34331","RB","Latavius","","Murray","13.692856924874443","14","6700","OAK@HOU","OAK","HOU","","","",""
"17515-25969","QB","Tom","","Savage","5.8799997965494795","3","6700","OAK@HOU","HOU","OAK","O","Concussion","",""
"17515-21994","QB","Brock","","Osweiler","12.298666381835938","15","6700","OAK@HOU","HOU","OAK","","","",""
"17515-11512","TE","Jimmy","","Graham","9.800000190734863","16","6600","DET@SEA","SEA","DET","","","",""
"17515-31001","WR","Amari","","Cooper","11.925000190734863","16","6500","OAK@HOU","OAK","HOU","Q","Shoulder","",""
"17515-31394","WR","Jarvis","","Landry","11.518750190734863","16","6400","MIA@PIT","MIA","PIT","","","",""
"17515-62616","RB","Zach","","Zenner","7.636363636363637","11","6200","DET@SEA","DET","SEA","","","",""
"17515-28163","QB","Connor","","Cook","7","1","6100","OAK@HOU","OAK","HOU","","","",""
"17515-28677","QB","Matt","","McGloin","0.5666666825612386","3","6100","OAK@HOU","OAK","HOU","Q","Shoulder","",""
"17515-11485","WR","Golden","","Tate","11.100000381469727","16","6100","DET@SEA","DET","SEA","","","",""
"17515-31406","RB","Alfred","","Blue","4","14","6000","OAK@HOU","HOU","OAK","","","",""
"17515-9392","WR","Michael","","Crabtree","12.175000190734863","16","6000","OAK@HOU","OAK","HOU","Q","Ankle","",""
"17515-32514","QB","Trevone","","Boykin","2.2249999046325684","4","6000","DET@SEA","SEA","DET","","","",""
"17515-27405","QB","Landry","","Jones","5.131428309849331","7","6000","MIA@PIT","PIT","MIA","","","",""
"17515-45859","QB","Derek","","Carr","18.29866739908854","15","6000","OAK@HOU","OAK","HOU","O","Lower leg","",""
"17515-21948","QB","Ryan","","Tannehill","15.553845919095552","13","6000","MIA@PIT","MIA","PIT","O","Knee","",""
"17515-21959","QB","Brandon","","Weeden","11.403333028157553","6","6000","OAK@HOU","HOU","OAK","","","",""
"17515-33260","WR","DeVante","","Parker","8.426666768391927","15","6000","MIA@PIT","MIA","PIT","","","",""
"17515-22047","TE","Ladarius","","Green","7.566666920979817","6","5900","MIA@PIT","PIT","MIA","Q","Concussion","",""
"17515-29866","RB","Paul","","Perkins","5.330769465519832","13","5900","NYG@GB","NYG","GB","","","",""
"17515-40843","RB","Alex","","Collins","3.3777777353922525","9","5800","DET@SEA","SEA","DET","","","",""
"17515-25272","TE","Eric","","Ebron","8.746153611403246","13","5700","DET@SEA","DET","SEA","","","",""
"17515-22103","WR","Marvin","","Jones Jr.","9.653333536783855","15","5500","DET@SEA","DET","SEA","","","",""
"17515-8052","RB","Rashad","","Jennings","9.300000117375301","13","5400","NYG@GB","NYG","GB","","","",""
"17515-27908","TE","C.J.","","Fiedorowicz","7.126666768391927","15","5300","OAK@HOU","HOU","OAK","","","",""
"17515-14257","WR","Randall","","Cobb","9.1000002347506","13","5300","NYG@GB","GB","NYG","Q","Ankle","",""
"17515-7761","TE","Jared","","Cook","5.670000076293945","10","5200","NYG@GB","GB","NYG","","","",""
"17515-33578","RB","Jalen","","Richard","6.3125","16","5200","OAK@HOU","OAK","HOU","","","",""
"17515-52560","WR","Geronimo","","Allison","5.4571429661342075","7","5200","NYG@GB","GB","NYG","","","",""
"17515-12550","D","Seattle","","Seahawks","7.4375","16","5100","DET@SEA","SEA","DET","","","",""
"17515-30989","RB","Kenyan","","Drake","3.4615384615384617","13","5100","MIA@PIT","MIA","PIT","","","",""
"17515-27477","WR","Sterling","","Shepard","9.493749618530273","16","5100","NYG@GB","NYG","GB","","","",""
"17515-26141","QB","Ryan","","Nassib","6.71999979019165","1","5000","NYG@GB","NYG","GB","IR","Elbow","",""
"17515-42028","WR","Will","","Fuller V","7.478571210588727","14","5000","OAK@HOU","HOU","OAK","","","",""
"17515-7831","K","Sebastian","","Janikowski","9.333333333333334","15","5000","OAK@HOU","OAK","HOU","","","",""
"17515-47772","QB","Brandon","","Doughty","0","0","5000","MIA@PIT","MIA","PIT","","","",""
"17515-31421","QB","Zach","","Mettenberger","7.028571537562779","7","5000","MIA@PIT","PIT","MIA","","","",""
"17515-29915","QB","Brett","","Hundley","-0.12999999523162842","4","5000","NYG@GB","GB","NYG","","","",""
"17515-26877","QB","Jake","","Heaps","0","0","5000","DET@SEA","SEA","DET","","","",""
"17515-70446","QB","Joe","","Callahan","0","0","5000","NYG@GB","GB","NYG","","","",""
"17515-27457","WR","Kenny","","Stills","9.225000381469727","16","5000","MIA@PIT","MIA","PIT","","","",""
"17515-27982","QB","Jake","","Rudock","0","0","5000","DET@SEA","DET","SEA","","","",""
"17515-8023","QB","Josh","","Johnson","0","0","5000","NYG@GB","NYG","GB","","","",""
"17515-8071","QB","Dan","","Orlovsky","5.519999980926514","2","5000","DET@SEA","DET","SEA","","","",""
"17515-44500","QB","Keith","","Wenning","0","0","5000","NYG@GB","NYG","GB","","","",""
"17515-33244","WR","Eli","","Rogers","7.846153846153846","13","5000","MIA@PIT","PIT","MIA","","","",""
"17515-28144","TE","Dion","","Sims","4.815384498009315","13","5000","MIA@PIT","MIA","PIT","","","",""
"17515-6782","K","Matt","","Prater","9.25","16","4900","DET@SEA","DET","SEA","","","",""
"17515-32418","RB","Christine","","Michael","8.4","15","4900","NYG@GB","GB","NYG","","","",""
"17515-22219","WR","Jermaine","","Kearse","4.84375","16","4900","DET@SEA","SEA","DET","","","",""
"17515-27441","RB","Damien","","Williams","5.46000010172526","15","4900","MIA@PIT","MIA","PIT","","","",""
"17515-34729","RB","Dwayne","","Washington","3.972727342085405","11","4900","DET@SEA","DET","SEA","","","",""
"17515-27050","WR","Tyler","","Lockett","6.906666564941406","15","4900","DET@SEA","SEA","DET","IR","Leg","",""
"17515-12556","D","Houston","","Texans","6","16","4800","OAK@HOU","HOU","OAK","","","",""
"17515-6479","WR","Anquan","","Boldin","8.743749618530273","16","4800","DET@SEA","DET","SEA","","","",""
"17515-6724","K","Steven","","Hauschka","8.625","16","4700","DET@SEA","SEA","DET","","","",""
"17515-29314","TE","Richard","","Rodgers","3.6066665649414062","15","4700","NYG@GB","GB","NYG","","","",""
"17515-12537","D","Oakland","","Raiders","6.0625","16","4700","OAK@HOU","OAK","HOU","","","",""
"17515-12547","D","Pittsburgh","","Steelers","6.6875","16","4700","MIA@PIT","PIT","MIA","","","",""
