"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17517-26610","WR","Paul","","Richardson","3.816666603088379","12","4700","DET@SEA","SEA","DET","","","",""
"17517-24847","TE","Will","","Tye","4.34375","16","4600","NYG@GB","NYG","GB","","","",""
"17517-32058","K","Chris","","Boswell","7.333333333333333","15","4600","MIA@PIT","PIT","MIA","","","",""
"17517-11712","RB","Joique","","Bell","0.44999998807907104","2","4600","DET@SEA","DET","SEA","","","",""
"17517-6897","K","Mason","","Crosby","8.0625","16","4600","NYG@GB","GB","NYG","","","",""
"17517-12533","D","Green Bay","","Packers","6.3125","16","4600","NYG@GB","GB","NYG","","","",""
"17517-32000","TE","Luke","","Willson","3.2400001525878905","10","4500","DET@SEA","SEA","DET","","","",""
"17517-34051","WR","Deshon","","Foxx","0","0","4500","DET@SEA","SEA","DET","","","",""
"17517-31748","WR","Levi","","Norwood","0","0","4500","MIA@PIT","PIT","MIA","","","",""
"17517-28933","WR","Jared","","Abbrederis","0.6499999761581421","2","4500","NYG@GB","GB","NYG","","","",""
"17517-31241","WR","Sammie","","Coates","5.616666793823242","12","4500","MIA@PIT","PIT","MIA","","","",""
"17517-33552","WR","TJ","","Jones","3.933333396911621","3","4500","DET@SEA","DET","SEA","","","",""
"17517-12305","RB","Will","","Tukuafu","0.06666666766007741","3","4500","DET@SEA","SEA","DET","IR","Concussion","",""
"17517-30228","WR","Tyler","","Murphy","2.0999999046325684","1","4500","MIA@PIT","MIA","PIT","","","",""
"17517-14358","WR","Dwayne","","Harris","0.36250001192092896","16","4500","NYG@GB","NYG","GB","","","",""
"17517-28694","TE","Jesse","","James","4.456250190734863","16","4500","MIA@PIT","PIT","MIA","","","",""
"17517-11543","TE","Clay","","Harbor","1.7000000476837158","2","4500","DET@SEA","DET","SEA","","","",""
"17517-27672","TE","Matt","","LaCosse","3.700000047683716","1","4500","NYG@GB","NYG","GB","IR","Knee","",""
"17517-53532","WR","Roger","","Lewis","2.6399999618530274","10","4500","NYG@GB","NYG","GB","","","",""
"17517-26657","RB","Christian","","Powell","0","0","4500","MIA@PIT","PIT","MIA","","","",""
"17517-22051","TE","Orson","","Charles","0","0","4500","DET@SEA","DET","SEA","","","",""
"17517-11562","TE","Andrew","","Quarless","1.6999999682108562","3","4500","DET@SEA","DET","SEA","","","",""
"17517-21547","RB","Will","","Johnson","2.2600000381469725","5","4500","NYG@GB","NYG","GB","IR","Shoulder","",""
"17517-26411","TE","Ryan","","Malleck","0","0","4500","NYG@GB","NYG","GB","","","",""
"17517-28721","RB","Brandon","","Cottom","0","0","4500","DET@SEA","SEA","DET","IR","Achilles","",""
"17517-70457","TE","Cole","","Wick","0.9333333174387614","3","4500","DET@SEA","DET","SEA","IR","Knee","",""
"17517-29500","WR","Markus","","Wheaton","5.033333460489909","3","4500","MIA@PIT","PIT","MIA","IR","Shoulder","",""
"17517-30012","WR","Kevin","","Smith","1.933333396911621","3","4500","DET@SEA","SEA","DET","","","",""
"17517-43334","RB","J.D.","","McKissic","2.799999952316284","1","4500","DET@SEA","SEA","DET","","","",""
"17517-6732","RB","DeAngelo","","Williams","11.387499809265137","8","4500","MIA@PIT","PIT","MIA","","","",""
"17517-11609","RB","James","","Starks","5.488889058430989","9","4500","NYG@GB","GB","NYG","Q","Concussion","",""
"17517-27229","RB","Ameer","","Abdullah","12.149999618530273","2","4500","DET@SEA","DET","SEA","IR","Foot","",""
"17517-44893","RB","Roosevelt","","Nix","1.5","1","4500","MIA@PIT","PIT","MIA","","","",""
"17517-54623","WR","Jeff","","Janis","2.550000031789144","12","4500","NYG@GB","GB","NYG","","","",""
"17517-7784","WR","Darrius","","Heyward-Bey","5.485714503696987","7","4500","MIA@PIT","PIT","MIA","","","",""
"17517-10354","RB","Marcel","","Reece","2.950000047683716","4","4500","DET@SEA","SEA","DET","","","",""
"17517-38517","RB","Dreamius","","Smith","0","2","4500","MIA@PIT","PIT","MIA","","","",""
"17517-25463","WR","Canaan","","Severin","0","0","4500","MIA@PIT","PIT","MIA","IR","Undisclosed","",""
