Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17431-25356,TE,Benson,,Browne,0,0,4500,ARI@LA,LA,ARI,,
17431-33552,WR,TJ,,Jones,6.40000009536743,1,4500,GB@DET,DET,GB,,
17431-7953,WR,Vincent,,Jackson,4.95999984741211,5,4500,CAR@TB,TB,CAR,IR,Knee
17431-27411,RB,Aaron,,Ripkowski,3.05555555555556,9,4500,GB@DET,GB,DET,,
17431-22292,RB,Lance,,Dunbar,2.38999996185303,10,4500,DAL@PHI,DAL,PHI,,
17431-28437,TE,Danny,,Vitale,1.07500004768372,4,4500,CLE@PIT,CLE,PIT,,
17431-70423,TE,Anthony,,Norris,0,0,4500,OAK@DEN,DEN,OAK,,
17431-12055,TE,Logan,,Paulsen,0.428571428571429,7,4500,CHI@MIN,CHI,MIN,,
17431-33571,RB,George,,Atkinson III,0,7,4500,CLE@PIT,CLE,PIT,,
17431-31524,WR,Cody,,Core,3.65999984741211,5,4500,BAL@CIN,CIN,BAL,,
17431-29477,TE,Connor,,Hamlett,8.19999980926514,1,4500,CLE@PIT,CLE,PIT,,
17431-7975,RB,Mike,,Tolbert,1.94285719735282,14,4500,CAR@TB,CAR,TB,,
17431-32551,WR,Kolby,,Listenbee,0,0,4500,BUF@NYJ,BUF,NYJ,O,Pelvis
17431-26411,TE,Ryan,,Malleck,0,0,4500,NYG@WAS,NYG,WAS,,
17431-22317,WR,Brenton,,Bersin,1.20000004768372,1,4500,CAR@TB,CAR,TB,,
17431-70444,WR,Paul,,McRoberts,0,0,4500,ARI@LA,LA,ARI,,
17431-10030,WR,Harry,,Douglas,4.07142857142857,7,4500,HOU@TEN,TEN,HOU,,
17431-27439,WR,Durron,,Neal,0,0,4500,OAK@DEN,DEN,OAK,,
17431-43826,WR,Tommylee,,Lewis,1.21999998092651,10,4500,NO@ATL,NO,ATL,,
17431-32564,WR,Josh,,Doctson,3.79999995231628,2,4500,NYG@WAS,WAS,NYG,IR,Achilles
17431-70457,TE,Cole,,Wick,0.933333317438761,3,4500,GB@DET,DET,GB,IR,Knee
17431-29500,WR,Markus,,Wheaton,5.03333346048991,3,4500,CLE@PIT,PIT,CLE,IR,Shoulder
17431-28486,WR,Corey,,Brown,3.05000005449568,14,4500,CAR@TB,CAR,TB,,
17431-28487,TE,Jeff,,Heuerman,3.1,5,4500,OAK@DEN,DEN,OAK,,
17431-15176,K,Kai,,Forbath,9,6,4500,CHI@MIN,MIN,CHI,,
17431-15178,RB,Chase,,Reynolds,0,1,4500,ARI@LA,LA,ARI,,
17431-41806,WR,Laquon,,Treadwell,0.5,4,4500,CHI@MIN,MIN,CHI,Q,Ankle
17431-47953,WR,Lucky,,Whitehead,0.861538446866549,13,4500,DAL@PHI,DAL,PHI,,
17431-28502,WR,Devin,,Smith,2.5,1,4500,BUF@NYJ,NYJ,BUF,,
17431-70489,TE,Ben,,Braunecker,2.03333330154419,3,4500,CHI@MIN,CHI,MIN,,
17431-7001,TE,Kellen,,Davis,0,1,4500,BUF@NYJ,NYJ,BUF,IR,Elbow
17431-44893,RB,Roosevelt,,Nix,0.866666634877523,3,4500,CLE@PIT,PIT,CLE,,
17431-29540,RB,Terron,,Ward,3.34000015258789,5,4500,NO@ATL,ATL,NO,,
17431-70501,RB,C.J.,,Ham,0,0,4500,CHI@MIN,MIN,CHI,,
17431-32613,RB,DeAndre,,Washington,5.83333333333333,12,4500,OAK@DEN,OAK,DEN,,
17431-70506,TE,Ryan,,O'Malley,0,0,4500,OAK@DEN,OAK,DEN,,
17431-28525,WR,Braxton,,Miller,2.33999996185303,10,4500,HOU@TEN,HOU,TEN,IR,Shoulder
17431-25463,WR,Canaan,,Severin,0,0,4500,CLE@PIT,PIT,CLE,IR,Undisclosed
17431-32632,WR,Bradley,,Marquez,0.77142858505249,7,4500,ARI@LA,LA,ARI,IR,Knee
17431-28545,RB,Rod,,Smith,0.449999988079071,2,4500,DAL@PHI,DAL,PHI,,
17431-30598,TE,Busta,,Anderson,0,0,4500,CHI@MIN,CHI,MIN,,
17431-38790,WR,Jalin,,Marshall,2.38888888888889,9,4500,BUF@NYJ,NYJ,BUF,,
17431-23435,TE,Andrew,,DePaola,0,16,4500,CAR@TB,TB,CAR,,
17431-19342,TE,Demetrius,,Harris,2.39999993642171,12,4500,KC@SD,KC,SD,,
17431-29583,TE,Randall,,Telfer,0.349999994039535,4,4500,CLE@PIT,CLE,PIT,,
17431-28562,TE,Jake,,Stoneburner,6.40000025431315,3,4500,NO@ATL,NO,ATL,,
17431-29592,TE,Xavier,,Grimble,3.66249990463257,8,4500,CLE@PIT,PIT,CLE,,
17431-70553,WR,Kieran,,Duncan,0,0,4500,CHI@MIN,CHI,MIN,,
17431-40857,RB,Peyton,,Barber,3.96250009536743,8,4500,CAR@TB,TB,CAR,,
17431-28570,TE,Nick,,Vannett,1.56666660308838,3,4500,SEA@SF,SEA,SF,,
17431-33691,RB,Orleans,,Darkwa,6.32499980926514,4,4500,NYG@WAS,NYG,WAS,IR,Lower leg
17431-70557,WR,Jake,,Lampman,0,0,4500,NO@ATL,NO,ATL,,
17431-22433,TE,Dominique,,Jones,3.12000007629395,5,4500,NE@MIA,MIA,NE,,
17431-32674,TE,Jace,,Amaro,7.40000009536743,1,4500,HOU@TEN,TEN,HOU,,
17431-14245,RB,Shane,,Vereen,6.54000015258789,5,4500,NYG@WAS,NYG,WAS,IR,Triceps
17431-30635,RB,Mike,,Davis,1.85714285714286,7,4500,SEA@SF,SF,SEA,,
17431-22447,WR,Griff,,Whalen,0.800000011920929,4,4500,NE@MIA,NE,MIA,,
17431-46001,RB,Joey,,Iosefa,2.54999995231628,2,4500,NE@MIA,NE,MIA,,
17431-8117,WR,Danny,,Amendola,4.81666660308838,12,4500,NE@MIA,NE,MIA,Q,Ankle
17431-29624,RB,Tre,,Madden,0,0,4500,SEA@SF,SEA,SF,IR,Undisclosed
17431-29625,RB,George,,Farmer,0.5,2,4500,SEA@SF,SEA,SF,,
17431-43961,RB,Tyler,,Ervin,-0.036363636905497,11,4500,HOU@TEN,HOU,TEN,,
17431-14266,RB,Daniel,,Thomas,0,0,4500,NE@MIA,MIA,NE,,
17431-14268,RB,Stevan,,Ridley,0.699999988079071,1,4500,NO@ATL,ATL,NO,,
17431-30652,WR,Tanner,,McEvoy,4.23142869131906,7,4500,SEA@SF,SEA,SF,,
17431-30654,TE,Jerell,,Adams,2.91111119588216,9,4500,NYG@WAS,NYG,WAS,,
17431-32703,WR,Jakeem,,Grant,0.333333333333333,12,4500,NE@MIA,MIA,NE,,
17431-14274,TE,Rob,,Housler,1.06000003814697,5,4500,CHI@MIN,CHI,MIN,,
17431-41922,WR,Johnny,,Holton,1.73999996185303,5,4500,OAK@DEN,OAK,DEN,,
17431-14277,WR,Vincent,,Brown,2.70000004768372,1,4500,NO@ATL,NO,ATL,,
